Español;Ingles
Manténgase en el carril izquierdo al aproximarse al paso a nivel del ferrocarril.;Stay in the left lane as you approach the railroad grade crossing.
Cruce la plaza de armas y tome la salida que conduce a las catacumbas históricas.;Cross the parade ground and take the exit leading to the historic catacombs.
El complejo de oficinas se halla inmediatamente después del viaducto de hormigón.;The office complex is located immediately past the concrete viaduct.
Gire a la derecha en la intersección oblicua justo antes del parque tecnológico.;Turn right at the oblique intersection just before the technology park.
Siga por la vía de servicio paralela a la autovía hasta visualizar el polígono industrial.;Continue along the service road parallel to the highway until you spot the industrial estate.
Atraviese el barrio residencial prestando especial atención a las zonas de prioridad peatonal.;Go through the residential neighborhood paying special attention to the pedestrian-priority zones.
Para llegar al helipuerto, debe ascender hasta la terraza superior por la escalera de incendios.;To reach the helipad, you must ascend to the upper terrace via the fire escape.
La ventanilla de atención al ciudadano está ubicada contigua al despacho del director.;The citizen service window is located adjacent to the director's office.
Gire a la izquierda en la rotonda tomando la salida que indica la zona arqueológica.;Turn left at the roundabout, taking the exit indicating the archaeological site.
Siga recto por el sendero empedrado que serpentea a través del jardín botánico.;Go straight along the stone path that weaves through the botanical garden.
El muelle de carga y descarga está situado en el sótano dos, accesible mediante la rampa trasera.;The loading dock is located in basement level two, accessible via the rear ramp.
Cruce el bulevar principal utilizando el paso subterráneo debidamente señalizado.;Cross the main boulevard using the properly signposted underpass.
Si divisa el acueducto romano, significa que ha tomado la dirección equivocada en el cruce.;If you catch sight of the Roman aqueduct, it means you took the wrong direction at the junction.
Camine por la acera de la izquierda hasta llegar al edificio de fachada vanguardista.;Walk on the left sidewalk until you reach the building with the avant-garde facade.
Gire a la derecha inmediatamente después de franquear la antigua puerta de la muralla.;Turn right immediately after passing through the ancient wall gate.
Siga las indicaciones luminosas de emergencia dispuestas a lo largo del túnel.;Follow the emergency light indicators arranged along the tunnel.
La sala de exposiciones temporales se encuentra ubicada en el ala norte del Palacio de Congresos.;The temporary exhibition hall is located in the north wing of the Convention Center.
Descienda por la escalinata de mármol que comunica el vestíbulo con la cripta.;Descend the marble staircase connecting the lobby with the crypt.
Tome el desvío a la izquierda hacia la carretera comarcal antes de que empiece el puerto de montaña.;Take the left detour toward the regional road before the mountain pass begins.
El laboratorio de investigación está emplazado en una zona de acceso restringido al final del corredor.;The research laboratory is situated in a restricted access area at the end of the corridor.
Bordeé la manzana completa para acceder al aparcamiento subterráneo automatizado.;Go around the entire block to access the automated underground parking lot.
Siga la hilera de farolas neoclásicas que delimitan el paseo central.;Follow the row of neoclassical lampposts that border the central promenade.
Gire a la izquierda en el callejón de sentido único y deténgase ante el portón de forja.;Turn left into the one-way alley and stop in front of the wrought-iron gate.
El punto de encuentro está fijado junto a la estatua ecuestre erigida en la plaza mayor.;The meeting point is set next to the equestrian statue erected in the main square.
Cruce la pasarela de madera que atraviesa el humedal protegido.;Cross the wooden footbridge that traverses the protected wetland.
Siga todo derecho hasta que visualice el edificio gubernamental revestido de granito gris.;Go straight until you see the government building clad in grey granite.
La entrada al teatro se efectúa por los soportales situados en el flanco occidental.;The entrance to the theater is through the arcades located on the western flank.
Tome el carril de deceleración para incorporarse de manera segura al área de descanso.;Take the deceleration lane to safely merge into the rest area.
Gire a la derecha en la intersección semafórica y continúe en paralelo al dique del puerto.;Turn right at the traffic-light intersection and continue parallel to the port's seawall.
El mirador panorámico se sitúa en la cúspide de la torre de telecomunicaciones.;The panoramic viewpoint is located at the summit of the telecommunications tower.
Atraviese el arco de triunfo y continúe por la calzada adoquinada de la zona peatonal.;Go through the triumphal arch and continue along the cobblestone road of the pedestrian zone.
Siga el sendero ecológico que bordea los acantilados prestando atención a las barandillas de seguridad.;Follow the ecological path bordering the cliffs, paying attention to the safety railings.
El muelle turístico se encuentra bajando la cuesta adoquinada que parte del casco viejo.;The tourist pier is located down the cobblestone slope that starts from the old town.
Gire a la izquierda tras pasar el control de aduanas y diríjase a la cinta de equipajes.;Turn left after passing through customs and head to the baggage carousel.
El despacho de billetes está convenientemente empotrado bajo los arcos de la estación central.;The ticket office is conveniently embedded beneath the arches of the central station.
Siga recto por la vía ciclista segregada hasta alcanzar el puente atirantado.;Go straight along the segregated cycle path until you reach the cable-stayed bridge.
Suba al tren cremallera que conduce directamente a la estación de esquí de la cumbre.;Board the cog railway that leads directly to the summit ski resort.
El pabellón de deportes está ubicado en las inmediaciones del campus universitario.;The sports pavilion is located in the vicinity of the university campus.
Gire a la derecha en el desvío que precede al peaje de la autopista radial.;Turn right at the detour preceding the toll booth of the radial highway.
Cruce el patio de luces del edificio mudéjar para localizar la biblioteca de manuscritos.;Cross the central courtyard of the Mudéjar building to locate the manuscript library.
Siga el vector que marcan las flechas de evacuación dispuestas en el pavimento.;Follow the vector indicated by the evacuation arrows arranged on the pavement.
La terminal de carga ferroviaria se encuentra adyacente a los silos de almacenamiento de grano.;The rail freight terminal is located adjacent to the grain storage silos.
Gire a la izquierda en la confluencia de ambas avenidas comerciales.;Turn left at the confluence of both commercial avenues.
El observatorio astronómico corona la colina más elevada de la reserva natural.;The astronomical observatory crowns the highest hill in the nature reserve.
Camine a lo largo de la escollera artificial hasta divisar la baliza marítima parpadeante.;Walk along the artificial breakwater until you spot the flashing maritime beacon.
Siga recto dejando el centro de salud a su izquierda y la jefatura de policía a su derecha.;Go straight, leaving the health center on your left and the police headquarters on your right.
La zona de embarque vip está restringida y se sitúa tras los mostradores de facturación preferente.;The VIP boarding area is restricted and is located behind the priority check-in counters.
Gire a la derecha en la rotonda partida para incorporarse al carril de sentido único.;Turn right at the split roundabout to merge into the one-way lane.
El museo de arte contemporáneo ocupa la estructura reformada del antiguo astillero.;The museum of contemporary art occupies the renovated structure of the old shipyard.
Atraviese el vestíbulo acristalado y acceda al núcleo de ascensores de alta velocidad.;Go through the glass-enclosed lobby and access the high-speed elevator core.
