Las llaves están encima del mueble.,The keys are on top of the furniture.
El gato duerme bajo la silla.,The cat sleeps under the chair.
El secreto está dentro de la carta.,The secret is inside the letter.
Deja los zapatos fuera de la habitación.,Leave the shoes outside the room.
Ponte al lado de la ventana.,Stand next to the window.
Alguien está detrás de la cortina.,Someone is behind the curtain.
El espejo está frente al lavabo.,The mirror is in front of the sink.
El estante está arriba del escritorio.,The shelf is above the desk.
La alfombra está abajo de la mesa.,The rug is below the table.
El puente pasa entre las dos torres.,The bridge goes between the two towers.
Pon el paquete aquí.,Put the package here.
Mira lo que hay allá.,Look at what is over there.
La salida está a la derecha.,The exit is on the right.
La entrada está a la izquierda.,The entrance is on the left.
El supermercado está cerca del metro.,The supermarket is near the subway.
El aeropuerto está muy lejos.,The airport is very far away.
Mi coche está aparcado junto al tuyo.,My car is parked next to yours.
El sol brilla arriba.,The sun shines above.
La bodega está abajo.,The basement is downstairs.
Estamos a salvo dentro de la cueva.,We are safe inside the cave.
Los niños juegan fuera del colegio.,The children play outside the school.
El hotel está junto al río.,The hotel is beside the river.
El camino va hacia adelante.,The path goes forward.
Retrocede un poco.,Step back a little.
Los pájaros vuelan hacia arriba.,The birds fly upwards.
Las hojas caen hacia abajo.,The leaves fall downwards.
Escondí el regalo detrás del armario.,I hid the gift behind the wardrobe.
La farmacia está justo enfrente.,The pharmacy is right opposite.
El vaso está sobre el posavasos.,The glass is on the coaster.
El metro pasa debajo de la calle.,The subway runs under the street.
Guarda la ropa dentro del cajón.,Put the clothes inside the drawer.
El perro se quedó fuera del cuarto.,The dog stayed outside the room.
Camina junto a mí.,Walk beside me.
La sombra está detrás de ti.,The shadow is behind you.
Párate frente al espejo.,Stand in front of the mirror.
El techo está arriba de nosotros.,The ceiling is above us.
El suelo está abajo de nuestros pies.,The floor is below our feet.
El pueblo está entre las montañas.,The town is between the mountains.
Siéntate aquí conmigo.,Sit here with me.
El coche se averió allá.,The car broke down over there.
Mi habitación está a la derecha.,My room is on the right.
La oficina está a la izquierda.,The office is on the left.
La tienda queda muy cerca.,The shop is very close by.
El museo está lejos del centro.,The museum is far from downtown.
La taza está junto al plato.,The cup is next to the plate.
Hay una nube justo arriba de la casa.,There is a cloud right above the house.
La manta está abajo de la almohada.,The blanket is below the pillow.
Pon los hielos dentro de la bebida.,Put the ice inside the drink.
El humo sale hacia afuera.,The smoke goes outside.
La panadería está junto a la iglesia.,The bakery is next to the church.
