Español; Ingles
Gira a la izquierda antes de la farmacia.;Turn left before the pharmacy.
Sigue por esta acera hasta el final.;Follow this sidewalk to the end.
Cruza la calle después del semáforo.;Cross the street after the traffic light.
Sube al autobús en esta parada.;Get on the bus at this stop.
Baja del taxi en la esquina.;Get out of the taxi at the corner.
El banco está detrás de la estación de servicio.;The bank is behind the service station.
Camina hacia la salida de emergencia.;Walk toward the emergency exit.
Toma el camino de la izquierda.;Take the path on the left.
Está justo antes de llegar al río.;It is just before reaching the river.
Sigue derecho por tres cuadras más.;Go straight for three more blocks.
Gira a la derecha en el callejón.;Turn right at the alley.
La cafetería queda a mano derecha del vestíbulo.;The cafe is on the right-hand side of the lobby.
El baño está a mano izquierda del pasillo.;The bathroom is on the left-hand side of the hall.
Camina en dirección a las vías del tren.;Walk in the direction of the train tracks.
Cruza el patio interior.;Cross the interior courtyard.
El kiosko está junto a la entrada principal.;The kiosk is next to the main entrance.
Busca el letrero luminoso azul.;Look for the bright blue sign.
Está entre el restaurante y la tienda de ropa.;It is between the restaurant and the clothing store.
Sigue las indicaciones hacia el estacionamiento.;Follow the signs to the parking lot.
Baja por las escaleras de caracol.;Go down the spiral stairs.
Sube al segundo piso por el ascensor.;Go up to the second floor by the elevator.
Gira a la izquierda al salir del edificio.;Turn left when leaving the building.
Está a la vuelta de la plaza principal.;It is around the corner from the main square.
No pases por esa calle estrecha.;Do not go through that narrow street.
Camina unos metros hacia el norte.;Walk a few meters toward the north.
Está justo detrás del ayuntamiento.;It is right behind the city hall.
Sigue la línea verde pintada en el suelo.;Follow the green line painted on the floor.
Gira a la derecha al ver la estatua.;Turn right when you see the statue.
Cruza el puente de piedra.;Cross the stone bridge.
El destino está al cruzar la calle.;The destination is across the street.
Camina junto a la vía del tren.;Walk along the train track.
Entra por el acceso lateral.;Enter through the side access.
La terraza está arriba del restaurante.;The terrace is above the restaurant.
El almacén está abajo del taller.;The warehouse is below the workshop.
Sigue todo derecho hacia el este.;Go straight towards the east.
Gira a la izquierda después de la curva.;Turn left after the curve.
Pasa el hospital y sigue caminando.;Pass the hospital and keep walking.
Está a diez minutos de aquí a pie.;It is ten minutes from here on foot.
Ve por el sendero peatonal.;Go along the pedestrian path.
Toma la primera calle a la izquierda.;Take the first street on the left.
Toma la tercera calle a la derecha.;Take the third street on the right.
Está situado frente a la comisaría.;It is located in front of the police station.
Camina rodeando el parque infantil.;Walk around the playground.
Sigue las señales de color rojo.;Follow the red signs.
La salida está al final de la escalera.;The exit is at the end of the stairs.
Gira hacia atrás si ves el puente.;Turn back if you see the bridge.
Cruza por el paso elevado.;Cross using the overpass.
Está muy cerca del centro histórico.;It is very close to the historic center.
Camina en línea recta hacia la playa.;Walk in a straight line toward the beach.
Termina la ruta en la oficina de turismo.;End the route at the tourist office.
